Análise dos Portais da Transparência,,,,,Estado,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Distrito Federal,,,Espírito Santo,,,Maranhão,,,,,,,,,,,,,,,,,,,,
Categorias,,Itens,,,Resposta,Pontuação,Porcentagem,Resposta,Pontuação,Porcentagem,Resposta,Pontuação,Porcentagem,,,,,,,,,,,,,,,,,,
Acessibilidade e navegação,,Resultado de mecanismos de busca,,,Sim,4,"80,00%",Sim,5,"100,00%",Sim,5,"100,00%",,,,,,,,,,,,,,,,,,
,,Link para o portal na página do governo,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Mapa do site,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Motor de busca próprio,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Fornecer dados em vários formatos,,,Não,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
Prestação de informações ao cidadão,,Informações sobre o funcionamento do portal,,,Sim,4,"100,00%",Sim,4,"100,00%",Sim,4,"100,00%",,,,,,,,,,,,,,,,,,
,,Telefone para contato,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Item perguntas frequentes,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Informações atualizadas,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
Controle social sobre a administração,,Contratos na íntegra,,,Sim,11,"68,75%",Sim,12,"75,00%",Sim,13,"81,25%",,,,,,,,,,,,,,,,,,
,,Convênios na íntegra,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Transferências do estado para os municípios,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Valor total anual gasto pelo estado,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Despesas por natureza,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Acompanhamento online de obras,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Valores pagos aos servidores,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Valores pagos em cargos de comissão,,,Não,,,Não,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Indicadores fiscais,,,Não,,,Não,,,Não,,,,,,,,,,,,,,,,,,,,
,,Processos de licitação finalizados e em andamento,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Recebimento por credores do estado,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Valor recebido por escola,,,Não,,,Sim,,,Não,,,,,,,,,,,,,,,,,,,,
,,Valor recebido por hospital,,,Não,,,Não,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Valor recebido por órgão,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Obras realizadas pelo estado por município,,,Não,,,Não,,,Não,,,,,,,,,,,,,,,,,,,,
,,Enriquecer dados gerando novos dados,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
Interatividade e participação,,Dados legíveis por máquina,,,Sim,6,"66,67%",Sim,6,"66,67%",Sim,8,"88,89%",,,,,,,,,,,,,,,,,,
,,Fóruns para debate,,,Não,,,Não,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Mapas interativos,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Ferramenta de contato com o cidadão,,,Sim,,,Não,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Informações do portal em rede social,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Possibilidade de receber informações por e-mail,,,Não,,,Não,,,Não,,,,,,,,,,,,,,,,,,,,
,,Disponibilidade de e-mail para contato,,,Não,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Glossário,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,Espaço para denúncias e reclamações,,,Sim,,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,
,,,,Total:,"78,85%",,,"85,42%",,,"92,53%",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resumo - Categorias,,Goiás ,Santa Catarina,Maranhão,Minas Gerais,Espírito Santo,Rondônia ,Paraná ,,Pernambuco,Espírito Santo,,Distrito Federal,Rio de Janeiro ,Tocantins,Rio Grande do Norte,Piauí ,Sergipe,Roraima,Mato Grosso do Sul,Bahia,São Paulo,Rio Grande do Sul,Alagoas,Paraíba ,Mato Grosso,Amazonas,Amapá ,Ceará ,Acre,Média
Acessibilidade e navegação,,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%",,"100,00%","100,00%",,"80,00%","100,00%","100,00%","100,00%","80,00%","80,00%","60,00%","100,00%","60,00%","80,00%","80,00%","100,00%","80,00%","80,00%","80,00%","80,00%","60,00%","40,00%","86,67%"
Prestação de informações ao cidadão,,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%",,"75,00%","100,00%",,"100,00%","75,00%","100,00%","100,00%","100,00%","100,00%","100,00%","50,00%","75,00%","75,00%","50,00%","75,00%","50,00%","75,00%","75,00%","25,00%","25,00%","50,00%","80,56%"
Controle social sobre a administração,,"81,25%","81,25%","81,25%","75,00%","75,00%","86,67%","81,25%",,"86,67%","73,33%",,"68,75%","86,67%","56,25%","56,25%","62,50%","50,00%","75,00%","50,00%","50,00%","50,00%","50,00%","37,50%","43,75%","43,75%","31,25%","43,75%","56,25%","18,75%","61,19%"
Interatividade e participação,,"88,89%","88,89%","88,89%","88,89%","66,67%","75,00%","55,56%",,"75,00%","62,50%",,"66,67%","62,50%","66,70%","66,67%","77,78%","77,78%","66,67%","66,67%","77,78%","55,56%","77,78%","44,44%","66,67%","33,33%","33,33%","66,67%","22,22%","33,33%","64,92%"
Média final,,"92,54%","92,53%","92,53%","90,97%","85,42%","90,42%","84,20%",,"84,17%","83,96%",,"78,85%","81,04%","80,74%","80,73%","80,07%","76,95%","75,42%","66,67%","65,70%","65,14%","64,45%","64,24%","60,11%","58,02%","54,90%","53,86%","40,87%","35,52%","73,33%"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estado,Nota geral,Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goiás ,"92,50","http://www.transparencia.go.gov.br/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Catarina,"92,50",https://transparencia.sc.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maranhão ,"91,90",https://www.transparencia.ma.gov.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minas Gerais,"90,80",https://www.transparencia.mg.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rondônia ,"90,42",https://transparencia.ro.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraná,"84,20",http://www.transparencia.pr.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pernambuco,"84,17",http://web.transparencia.pe.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espirito Santo,"84,00",https://transparencia.es.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distrito Federal,"82,30",https://www.transparencia.df.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio de Janeiro,"81,04","http://www.fazenda.rj.gov.br/transparencia/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tocantins,"80,73",https://www.transparencia.to.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Grande do Norte,"80,73","http://www.transparencia.rn.gov.br/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piauí ,"80,10",https://portal.sefaz.pi.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergipe ,"77,00",https://www.sefaz.se.gov.br/transparencia/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roraima,"75,40",https://www.transparencia.rr.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mato Grosso do Sul,"66,70",http://www.transparencia.ms.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahia,"65,69",https://www.tce.ba.gov.br/dados-abertos/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Paulo,"65,10",https://www.fazenda.sp.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Grande do Sul,"64,40","https://www.transparencia.rs.gov.br/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alagoas,"64,20",https://transparencia.al.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraíba ,"60,10",https://transparencia.pb.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mato Grosso,"58,02",https://www.transparencia.mt.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas ,"54,90",https://sistemas.sefaz.am.gov.br/transpprd/mnt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amapá ,"53,80",http://www.transparencia.ap.gov.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceará,"40,87",http://web3.seplag.ce.gov.br/siofconsulta/Paginas/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acre,"40,52",https://cearatransparente.ce.gov.br/portal-da-transparencia/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pará,Descartado,https://www.transparencia.pa.gov.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,